Word,Meaning
Written language,et skriftspråk
Closer to,næmere
Reason,en grunn
instead of,i stedet for
independent,selvstendig
"finally, at last",endelig
spoken language,et talespråk
"really, decent",skikkelig
based on,basert på
already,allerede
Quite,ganske
Agree,være enig
A way,en måte
Different,ulike
Slightly,litt
Nevertheless,likevel
Both,begge
Like,lik like
Before,før
since,siden
number,et tall
To begin,begynne
A text,en tekst
Norwegians,Nordmenn
(its) Own,egen
again,igjen
to become,å bli
to wish,øsken
yet,ennå
should,skal
to be,å være
easy,lett
difficult,vanskelig
each other,hverandre
Arise,oppstå
Compared to,sammeligna med
Among,blant
Almost everyone,nesten alle
The majority,størsteparten
At least,i hvert fall
Mother tongue,et morsmål
Grow up with,vokse opp med
While,mens
Therefore,altså
Related to each other,i slekt med hverandre
Similar to,ligner på
Within,innenfor
Branch,en gren
Similarity,en likhet
Evolved / Developed from,utvikla seg fra
People,mennesker
Than,enn
Most,fleste
Consist of,bestå
Part,en del
In addition,i tillegg
Grandfather / grandmother,en bestefar / bestmor
Such,slik
During,i løpet av
Different(ly),annerledes
Common language,et fellessrpåk
thousands of years ago,tusenvis av år siden
Move to,flytta til
Different from each other,ulik hverandre
Similar to each other,lik hverandre
After some time / Gradually,etter hvert
To spread,spre
To survive,overleve
On the other hand / However,derimot
That is to say,det vil si
Common,felles
To happen,skje
Different,forskjellig
Change,forandre seg
To know,vite
To wonder,lure på
To find,finne
Application,søknad
If,hvis
To obtain,få
"Quick, fast",rask
Even if / although,selv om
To ask,spørre
Requirement,et krav
Regulation,en forskrift
To request,be om
Every,hver
A week,en uke
Date of birth,en fødselsdato
To use,bruke
Shall,skal
Greeting,en hilsen
Låne,"to borrow, to loan"
En balsam,conditioner
Hudpleie,skincare
Blid,gentle
En rynke,wrinkle
Forsette,to continue
Opp til,up to
Tilby,to offer
En mester,master
En eiendom,a property
Et konditori,a patisserie
Unntatt,except
En avgift,fee
Nyte,to enjoy
Uttalen,the pronunciation
Dele dem inn i,divide them into
Hovedkategorier,main categories
En kategori,category
Ligner mer på,"more similar to  , more like"
et fjell,mountain
skille,separate
En hindring,obstacle
Føre til,to lead to
Vanlig,"normal, casual, ordinary, common"
En dialekt,dialect
Sør nord vest øst,south north west east
gjør,"to do, to make"
En politiker,politician
I begynnelsen,in the beginning
vær red for,to be afraid of
tenke / synes,to think
spennende,exiciting
et mål,"goal, purpose, aim"
hovedmål,preferred written standard at school
en lærebok,textbook
anbefaler,to recommend
heller,rather
foretrekke,to prefer
gjelder,is applicable to / apply to
Rare,sjelden
Lucky,heldig
Should,bør
Most,mest
Wise,lurt
Bad,dårlig
